Id,Description,Claimant,Price,Office,Category
1190,Hewlett-Packard 2600DN Business Color Inkjet Printer,Neil Knudson,119.99,British Columbia,Office Machines
1191,Staples Plastic Wall Frames,Khloe Miller,7.96,British Columbia,Office Furnishings
1192,Vinyl Sectional Post Binders,Rob Dowd,37.7,British Columbia,Binders and Binder Accessories
1193,12-1/2 Diameter Round Wall Clock,Cathy Armstrong,19.98,British Columbia,Office Furnishings
1194,Round Ring Binders,Mark Cousins,2.08,British Columbia,Binders and Binder Accessories
1195,"Metal Folding Chairs, Beige, 4/Carton",Mark Cousins,33.94,British Columbia,Chairs & Chairmats
1196,9-3/4 Diameter Round Wall Clock,Mark Cousins,13.79,British Columbia,Office Furnishings
1197,StarTAC 6500,Thomas Brumley,125.99,British Columbia,Telephones and Communication
1198,i2000,Greg Maxwell,125.99,British Columbia,Telephones and Communication
1199,Ames Color-File® Green Diamond Border X-ray Mailers,Vicky Freymann,83.98,British Columbia,Envelopes
1200,Hon Non-Folding Utility Tables,Vicky Freymann,159.31,British Columbia,Tables
1201,Fiskars® Softgrip Scissors,Shahid Shariari,10.98,British Columbia,"Scissors, Rulers and Trimmers"
1202,Bretford CR4500 Series Slim Rectangular Table,Shahid Shariari,348.21,British Columbia,Tables
1203,"Global Leather Task Chair, Black",Shahid Shariari,89.99,British Columbia,Chairs & Chairmats
1204,"Master Giant Foot® Doorstop, Safety Yellow",Shahid Shariari,7.59,British Columbia,Office Furnishings
1205,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Tony Chapman,105.34,British Columbia,Office Furnishings
1206,Economy Binders,Neil Knudson,2.08,British Columbia,Binders and Binder Accessories
1207,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Neil Knudson,180.98,British Columbia,Chairs & Chairmats
1208,Nu-Form 106-Key Ergonomic Keyboard w/ Touchpad,Neil Knudson,53.98,British Columbia,Computer Peripherals
1209,Xerox 1989,Neil Knudson,4.98,British Columbia,Paper
1210,Avery 496,Neil Knudson,3.75,British Columbia,Labels
1211,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",Lela Donovan,22.23,British Columbia,Office Furnishings
1212,Epson LQ-570e Dot Matrix Printer,Mike Vittorini,270.97,British Columbia,Office Machines
1213,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Heather Jas,9.65,British Columbia,Office Furnishings
1214,Staples Battery-Operated Desktop Pencil Sharpener,Justin Hirsh,10.48,British Columbia,Pens & Art Supplies
1215,Round Ring Binders,Rob Dowd,2.08,British Columbia,Binders and Binder Accessories
1216,Tuff Stuff™ Recycled Round Ring Binders,Justin Hirsh,4.82,British Columbia,Binders and Binder Accessories
1217,Xerox 1994,Justin Hirsh,6.48,British Columbia,Paper
1218,Lock-Up Easel 'Spel-Binder',Lela Donovan,28.53,British Columbia,Binders and Binder Accessories
1219,Avery 514,Ralph Kennedy,2.88,British Columbia,Labels
1220,Eldon® Wave Desk Accessories,Ralph Kennedy,2.08,British Columbia,Office Furnishings
1221,V8160,Ralph Kennedy,65.99,British Columbia,Telephones and Communication
1222,Hand-Finished Solid Wood Document Frame,Shahid Shariari,34.23,British Columbia,Office Furnishings
1223,g520,Shahid Shariari,65.99,British Columbia,Telephones and Communication
1224,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Rob Dowd,170.98,British Columbia,Bookcases
1225,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,Chuck Clark,400.97,British Columbia,Office Machines
1226,Avery Printable Repositionable Plastic Tabs,Giulietta Weimer,8.6,British Columbia,Binders and Binder Accessories
1227,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Khloe Miller,16.06,British Columbia,Storage & Organization
1228,TI 36X Solar Scientific Calculator,Shahid Shariari,23.99,British Columbia,Office Machines
1229,Euro Pro Shark Stick Mini Vacuum,Justin Hirsh,60.98,British Columbia,Appliances
1230,Dana Halogen Swing-Arm Architect Lamp,Khloe Miller,40.97,British Columbia,Office Furnishings
1231,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Ralph Kennedy,115.99,British Columbia,Office Machines
1232,Belkin 6 Outlet Metallic Surge Strip,Shahid Hopkins,10.89,British Columbia,Appliances
1233,"Memorex 4.7GB DVD-RAM, 3/Pack",Shahid Hopkins,31.78,British Columbia,Computer Peripherals
1234,Xerox 1949,Shahid Hopkins,4.98,British Columbia,Paper
1235,"Seth Thomas 12"" Clock w/ Goldtone Case",Chuck Clark,22.98,British Columbia,Office Furnishings
1236,Xerox 1939,Bill Eplett,18.97,British Columbia,Paper
1237,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Bill Eplett,5.28,British Columbia,Paper
1238,Xerox 1894,Sarah Bern,6.48,British Columbia,Paper
1239,Xerox 1979,Mark Cousins,30.98,British Columbia,Paper
1240,Xerox 1894,Lena Hernandez,6.48,British Columbia,Paper
1241,3M Organizer Strips,Shahid Shariari,5.4,British Columbia,Binders and Binder Accessories
1242,3M Hangers With Command Adhesive,Khloe Miller,3.7,British Columbia,Office Furnishings
1243,"Global High-Back Leather Tilter, Burgundy",Bill Eplett,122.99,British Columbia,Chairs & Chairmats
1244,Canon imageCLASS 2200 Advanced Copier,Tony Chapman,3499.99,British Columbia,Copiers and Fax
1245,T28 WORLD,Bill Eplett,195.99,British Columbia,Telephones and Communication
1246,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Shahid Hopkins,28.99,British Columbia,Telephones and Communication
1247,DAX Solid Wood Frames,Shahid Hopkins,9.77,British Columbia,Office Furnishings
1248,Xerox 1993,Cathy Armstrong,6.48,British Columbia,Paper
1249,Xerox 1907,Bill Eplett,12.28,British Columbia,Paper
1250,Imation DVD-RAM discs,Patrick O'Brill,35.41,British Columbia,Computer Peripherals
1251,Fellowes 17-key keypad for PS/2 interface,Giulietta Weimer,30.73,British Columbia,Computer Peripherals
1252,GBC DocuBind P100 Manual Binding Machine,Sally Knutson,165.98,British Columbia,Binders and Binder Accessories
1253,Xerox 1974,Marc Harrigan,5.98,British Columbia,Paper
1254,Serrated Blade or Curved Handle Hand Letter Openers,John Grady,3.14,British Columbia,"Scissors, Rulers and Trimmers"
1255,"Seth Thomas 12"" Clock w/ Goldtone Case",Khloe Miller,22.98,Nova Scotia,Office Furnishings
1256,Panasonic KP-150 Electric Pencil Sharpener,Tony Chapman,37.74,Nova Scotia,Pens & Art Supplies
1257,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Tony Chapman,95.43,Nova Scotia,Storage & Organization
1258,ACCOHIDE® Binder by Acco,Ralph Kennedy,4.13,Nova Scotia,Binders and Binder Accessories
1259,Serrated Blade or Curved Handle Hand Letter Openers,Ralph Kennedy,3.14,Nova Scotia,"Scissors, Rulers and Trimmers"
1260,Verbatim DVD-R 4.7GB authoring disc,Trudy Schmidt,39.24,Nova Scotia,Computer Peripherals
1261,Hand-Finished Solid Wood Document Frame,Trudy Schmidt,34.23,Nova Scotia,Office Furnishings
1262,Xerox 1894,Gene Hale,6.48,Nova Scotia,Paper
1263,Accessory20,Gene Hale,85.99,Nova Scotia,Telephones and Communication
1264,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Sarah Bern,8.33,Nova Scotia,Computer Peripherals
1265,3M Polarizing Light Filter Sleeves,Justin Hirsh,18.65,Nova Scotia,Office Furnishings
1266,Canon P1-DHIII Palm Printing Calculator,Justin Hirsh,17.98,Nova Scotia,Office Machines
1267,Xerox 1896,Justin Hirsh,9.99,Nova Scotia,Paper
1268,2180,Justin Hirsh,175.99,Nova Scotia,Telephones and Communication
1269,GBC VeloBinder Strips,Liz Price,7.68,Nova Scotia,Binders and Binder Accessories
1270,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Liz Price,291.73,Nova Scotia,Chairs & Chairmats
1271,Xerox Blank Computer Paper,Liz Price,19.98,Nova Scotia,Paper
1272,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Greg Maxwell,243.98,Nova Scotia,Chairs & Chairmats
1273,8890,Marc Harrigan,115.99,Nova Scotia,Telephones and Communication
1274,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Sally Knutson,167.27,Nova Scotia,Storage & Organization
1275,Novimex Fabric Task Chair,Giulietta Weimer,60.98,Nova Scotia,Chairs & Chairmats
1276,U.S. Robotics 56K Internet Call Modem,Giulietta Weimer,99.99,Nova Scotia,Computer Peripherals
1277,"Eldon® Image Series Desk Accessories, Burgundy",Giulietta Weimer,4.18,Nova Scotia,Office Furnishings
1278,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Giulietta Weimer,4.91,Nova Scotia,Binders and Binder Accessories
1279,Binder Clips by OIC,Giulietta Weimer,1.48,Nova Scotia,Rubber Bands
1280,"Imation Neon Mac Format Diskettes, 10/Pack",Kristina Nunn,8.12,Nova Scotia,Computer Peripherals
1281,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Kristina Nunn,279.48,Nova Scotia,Storage & Organization
1282,Xerox 1893,Kristina Nunn,40.99,Nova Scotia,Paper
1283,Staples File Caddy,Chuck Clark,9.38,Nova Scotia,Storage & Organization
1284,Belkin 6 Outlet Metallic Surge Strip,Sally Knutson,10.89,Nova Scotia,Appliances
1285,"Memorex 4.7GB DVD+RW, 3/Pack",Sally Knutson,28.48,Nova Scotia,Computer Peripherals
1286,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Tanja Norvell,114.98,Nova Scotia,Bookcases
1287,Bush Advantage Collection® Round Conference Table,Tanja Norvell,212.6,Nova Scotia,Tables
1288,Avery Hole Reinforcements,Sarah Bern,6.23,Nova Scotia,Binders and Binder Accessories
1289,Sharp EL500L Fraction Calculator,Liz Price,13.99,Nova Scotia,Office Machines
1290,Accessory13,Vicky Freymann,35.99,Nova Scotia,Telephones and Communication
1291,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Philisse Overcash,28.15,Nova Scotia,Pens & Art Supplies
1292,TI 30X Scientific Calculator,Justin Hirsh,11.99,Nova Scotia,Office Machines
1293,Belkin 105-Key Black Keyboard,Patrick O'Brill,19.98,Nova Scotia,Computer Peripherals
1294,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Patrick O'Brill,34.76,Nova Scotia,Storage & Organization
1295,Avery Non-Stick Binders,Liz Price,4.49,Nova Scotia,Binders and Binder Accessories
1296,Xerox 1920,Justin Hirsh,5.98,Nova Scotia,Paper
1297,Coloredge Poster Frame,Cathy Armstrong,14.2,Nova Scotia,Office Furnishings
1298,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Cathy Armstrong,71.37,Nova Scotia,Tables
1299,5125,Cathy Armstrong,200.99,Nova Scotia,Telephones and Communication
1300,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Heather Jas,8.95,Nova Scotia,Paper
1301,Belkin Premiere Surge Master II 8-outlet surge protector,Justin Hirsh,48.58,Nova Scotia,Appliances
1302,"Global Stack Chair without Arms, Black",Lena Hernandez,25.98,Nova Scotia,Chairs & Chairmats
1303,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Patrick O'Brill,4.89,Nova Scotia,Computer Peripherals
1304,"Hon Metal Bookcases, Putty",Kristina Nunn,70.98,Nova Scotia,Bookcases
1305,Newell 309,Kristina Nunn,11.55,Nova Scotia,Pens & Art Supplies
1306,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,Shahid Shariari,5.8,Nova Scotia,Binders and Binder Accessories
1307,"Fellowes Mobile Numeric Keypad, Graphite",Justin Hirsh,43.22,Nova Scotia,Computer Peripherals
1308,Flat Face Poster Frame,Khloe Miller,18.84,Nova Scotia,Office Furnishings
1309,12 Colored Short Pencils,Paul MacIntyre,2.6,Nova Scotia,Pens & Art Supplies
1310,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Patrick O'Brill,37.94,Nova Scotia,Paper
1311,6340,Patrick O'Brill,85.99,Nova Scotia,Telephones and Communication
1312,Ultra Door Pull Handle,Mike Vittorini,10.52,Nova Scotia,Office Furnishings
1313,3390,Mike Vittorini,65.99,Nova Scotia,Telephones and Communication
1314,Avery 510,Liz Price,3.75,Nova Scotia,Labels
1315,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Paul MacIntyre,47.98,Nova Scotia,Computer Peripherals
1316,Xerox 194,John Grady,55.48,Nova Scotia,Paper
1317,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Ricardo Emerson,70.71,Nova Scotia,Office Furnishings
1318,Avery 474,Chuck Clark,2.88,Nova Scotia,Labels
1319,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Chuck Clark,85.29,Nova Scotia,Tables
1320,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Sarah Bern,6.48,Nova Scotia,Paper
1321,Xerox 193,Kristina Nunn,5.98,Nova Scotia,Paper
1322,Nu-Dell Executive Frame,Matt Abelman,12.64,Nova Scotia,Office Furnishings
1323,Newell 326,Sarah Jordon,1.76,Nova Scotia,Pens & Art Supplies
1324,"O'Sullivan Elevations Bookcase, Cherry Finish",Sally Matthias,130.98,Nova Scotia,Bookcases
1325,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Sally Matthias,218.75,Nova Scotia,Tables
1326,Xerox 1973,Sally Matthias,22.84,Nova Scotia,Paper
1327,Hon 4-Shelf Metal Bookcases,Theone Pippenger,100.98,Nova Scotia,Bookcases
1328,#10 Self-Seal White Envelopes,Art Ferguson,11.09,Nova Scotia,Envelopes
1329,Ibico Covers for Plastic or Wire Binding Elements,Jack O'Briant,11.5,Nova Scotia,Binders and Binder Accessories
1330,Hewlett Packard LaserJet 3310 Copier,Jack O'Briant,599.99,Nova Scotia,Copiers and Fax
1331,Hon Non-Folding Utility Tables,Nathan Cano,159.31,Nova Scotia,Tables
1332,Accessory13,Nathan Cano,35.99,Nova Scotia,Telephones and Communication
1333,Xerox 1927,Michael Granlund,4.28,Nova Scotia,Paper
1334,"Dixon My First Ticonderoga Pencil, #2",Michael Granlund,5.85,Nova Scotia,Pens & Art Supplies
1335,Logitech Access Keyboard,Steve Carroll,15.98,Nova Scotia,Computer Peripherals
1336,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Steve Carroll,9.48,Nova Scotia,Office Furnishings
1337,Wilson Jones® Four-Pocket Poly Binders,Scott Williamson,6.54,Nova Scotia,Binders and Binder Accessories
1338,Satellite Sectional Post Binders,Dennis Bolton,43.41,Nova Scotia,Binders and Binder Accessories
1339,Newell 346,Sean Wendt,2.88,Nova Scotia,Pens & Art Supplies
1340,"Bush Cubix Collection Bookcases, Fully Assembled",John Castell,220.98,Nova Scotia,Bookcases
1341,Xerox 1892,John Castell,38.76,Nova Scotia,Paper
1342,DIXON Oriole® Pencils,Art Ferguson,2.58,Nova Scotia,Pens & Art Supplies
1343,StarTAC Series,Art Ferguson,65.99,Nova Scotia,Telephones and Communication
1344,3.6 Cubic Foot Counter Height Office Refrigerator,Jack O'Briant,294.62,Nova Scotia,Appliances
1345,Accessory21,David Philippe,20.99,Nova Scotia,Telephones and Communication
1346,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Chad Sievert,500.98,Nova Scotia,Office Machines
1347,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Matt Abelman,40.98,Nova Scotia,Computer Peripherals
1348,T65,Matt Abelman,195.99,Nova Scotia,Telephones and Communication
1349,"GBC Laser Imprintable Binding System Covers, Desert Sand",Shaun Weien,14.27,Nova Scotia,Binders and Binder Accessories
1350,Gyration RF Keyboard,Shaun Weien,159.99,Nova Scotia,Computer Peripherals
1351,Fellowes Super Stor/Drawer®,Shaun Weien,27.75,Nova Scotia,Storage & Organization
1352,StarTAC 8000,Maya Herman,205.99,Nova Scotia,Telephones and Communication
1353,Epson DFX5000+ Dot Matrix Printer,David Philippe,1500.97,Nova Scotia,Office Machines
1354,Xerox 1910,David Philippe,48.04,Nova Scotia,Paper
1355,Newell 320,David Philippe,4.28,Nova Scotia,Pens & Art Supplies
1356,Accessory36,Sally Matthias,55.99,Nova Scotia,Telephones and Communication
1357,"Master Giant Foot® Doorstop, Safety Yellow",Michael Granlund,7.59,Nova Scotia,Office Furnishings
1358,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",David Philippe,40.98,Nova Scotia,Binders and Binder Accessories
1359,Boston 16701 Slimline Battery Pencil Sharpener,Chad Sievert,15.94,Nova Scotia,Pens & Art Supplies
1360,Global Adaptabilities™ Conference Tables,Jack O'Briant,280.98,Nova Scotia,Tables
1361,Eldon® Wave Desk Accessories,Chad Sievert,2.08,Nova Scotia,Office Furnishings
1362,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Chad Sievert,370.98,Nova Scotia,Storage & Organization
1363,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Chad Sievert,41.94,Nova Scotia,Binders and Binder Accessories
1364,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Chad Sievert,5.28,Nova Scotia,Binders and Binder Accessories
1365,Boston 1730 StandUp Electric Pencil Sharpener,Chad Sievert,21.38,Nova Scotia,Pens & Art Supplies
1366,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Sally Matthias,15.98,Nova Scotia,Computer Peripherals
1367,Howard Miller Distant Time Traveler Alarm Clock,Sally Matthias,27.42,Nova Scotia,Office Furnishings
1368,"Carina Mini System Audio Rack, Model AR050B",Ivan Liston,110.98,Nova Scotia,Storage & Organization
1369,Bush Advantage Collection® Round Conference Table,Ivan Liston,212.6,Nova Scotia,Tables
1370,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Ivan Liston,349.45,Nova Scotia,Tables
1371,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Brad Norvell,130.98,Nova Scotia,Chairs & Chairmats
1372,2160i,Brad Norvell,200.99,Nova Scotia,Telephones and Communication
1373,"Hoover Replacement Belts For Soft Guard™ & Commercial Ltweight Upright Vacs, 2/Pk",Ken Heidel,3.95,Nova Scotia,Appliances
1374,Logitech Cordless Navigator Duo,Michael Granlund,80.98,Nova Scotia,Computer Peripherals
1375,"SimpliFile™ Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Michael Granlund,11.35,Nova Scotia,Storage & Organization
1376,Xerox 1882,John Castell,55.98,Nova Scotia,Paper
1377,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Sally Matthias,880.98,Nova Scotia,Bookcases
1378,Newell 307,Ken Heidel,1.82,Nova Scotia,Pens & Art Supplies
1379,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Mike Kennedy,200.97,Nova Scotia,Office Machines
1380,Canon MP41DH Printing Calculator,Charles Sheldon,150.98,Nova Scotia,Office Machines
1381,"Tennsco Lockers, Gray",Charles Sheldon,20.98,Nova Scotia,Storage & Organization
